SE,drugA,drugB
C0027497,cefotaxime,montelukast
C0020649,dexamethasone,prednisone
C0002871,metformin,tetracycline
C0020649,fluconazole,warfarin
C0032285,felodipine,cortisol
C0020649,nicotinic acid,prednisone
C0020649,metoprolol,modafinil
C0020649,felodipine,hydromorphone
C0020649,nicotinic acid,primidone
C0002871,bupropion,oxandrolone
C0002871,omeprazole,megestrol
C0020649,phenytoin,amikacin
C0013604,pentoxifylline,moexipril
C0243026,metolazone,pirbuterol
C0013404,N-acetylcysteine,risedronate
C0015672,metoclopramide,prazosin
C0013404,amitriptyline,anastrozole
C0002871,EHDP,simvastatin
C0013404,atropine,carboplatin
C0027497,bupropion,paroxetine
C0002871,clonidine,nisoldipine
C0020649,lorazepam,perindopril
C0027497,flunisolide,metoclopramide
C0002871,prednisolone,cisplatin
C0015967,sildenafil,sulfasalazine
C0015672,nitrofurantoin,pilocarpine
C0002871,midazolam,vancomycin
C0027497,fluphenazine,oxcarbazepine
C0020649,fexofenadine,RSA
C0013404,finasteride,ibandronate
C0002871,BCNU,oxcarbazepine
C0020649,aspirin,vancomycin
C0002871,calcium chloride,alfentanil
C0020538,isoniazid,telmisartan
C0020649,clonidine,docetaxel
C0020649,EHDP,isosorbide-5-mononitrate
C0020649,thyroxine,apomorphine
C0020649,minocycline,rosuvastatin
C0020649,clonidine,dolasetron
C0020649,heparin,rofecoxib
C0013404,vitamin D,prednisolone
C0013404,amphetamine,etodolac
C0020649,heparin,ropinirole
C0027497,alfuzosin,metoclopramide
C0027497,vitamin A,doxorubicin
C0002871,cyclobenzaprine,didanosine
C0013404,cyclobenzaprine,dicyclomine
C0020649,pantoprazole,warfarin
C0013404,bupropion,etoposide
C0013404,doxepin,pirbuterol
C0013404,glibenclamide,methotrexate
C0013404,chlorpromazine,aripiprazole
C0020649,sulfate,omeprazole
C0020649,sulfate,ondansetron
C0002871,olmesartan medoxomil,nateglinide
C0013404,omeprazole,oxytetracycline
C0020649,phenytoin,paclitaxel
C0020649,lisinopril,oxandrolone
C0020649,methotrexate,bimatoprost
C0020649,ofloxacin,caspofungin
C0013404,bupropion,sotalol
C0030193,buspirone,pregabalin
C0013404,chlorothiazide,meloxicam
C0002871,spironolactone,caspofungin
C0015672,captopril,omeprazole
C0032285,captopril,ondansetron
C0002871,ibuprofen,5-aminosalicylic acid
C0032285,felodipine,rapamycin
C0013404,verapamil,lamotrigine
C0015672,methadone,morphine
C0020649,flecainide,sertraline
C0004093,galantamine,glimepiride
C0013404,verapamil,lamivudine
C0027497,famotidine,flunisolide
C0018681,solifenacin succinate,rosuvastatin
C0020649,rivastigmine,tiotropium
C0020649,phenelzine,lorazepam
C0020649,sertraline,tizanidine
C0002871,leucovorin,bupropion
C0020649,glipizide,timolol
C0027497,azathioprine,cyclobenzaprine
C0013404,beclomethasone,digoxin
C0002871,azathioprine,vitamin B12
C0020649,valproic acid,lansoprazole
C0020649,lamotrigine,phentermine
C0015967,atropine,etomidate
C0020649,glimepiride,triamcinolone
C0020649,metoprolol,prednisone
C0002871,clotrimazole,nabumetone
C0000737,fentanyl,neomycin
C0013404,digoxin,prednisolone
C0020649,ciprofloxacin,quetiapine
C0002871,candesartan,aripiprazole
C0020649,cimetidine,paclitaxel
C0013404,ciprofloxacin,quinapril
C0002871,rosiglitazone,colesevelam hydrochloride
C0013404,primidone,pregabalin
C0004093,risedronate,acenocoumarol
C0027497,cimetidine,valproic acid
C0002871,bisoprolol,ceftriaxone
C0020649,ifosfamide,prednisone
C0013404,triiodothyronine,pioglitazone
C0020649,leucovorin,warfarin
C0004604,zidovudine,medroxyprogesterone
C0013404,oxaliplatin,propofol
C0002871,vitamin D,fluoxetine
C0000737,hydroxyzine,temozolomide
C0020649,tacrolimus,sevelamer
C0013404,hydroxyzine,temazepam
C0002871,salmeterol,sulfasalazine
C0020649,ondansetron,ramipril
C0020649,zolpidem,almotriptan
C0020649,lidocaine,ropivacaine
C0013604,ceftazidime,midazolam
C0002871,cyclophosphamide,nitroglycerin
C0020649,nitroglycerin,nizatidine
C0002871,hydroxyzine,rabeprazole
C0020649,prednisolone,rosiglitazone
C0002871,heparin,KCl
C0002871,fenofibrate,nadolol
C0002871,captopril,valacyclovir
C0027497,captopril,ursodeoxycholic acid
C0002871,phenytoin,fluticasone
C0020649,ampicillin,prednisone
C0013404,prednisone,propylthiouracil
C0020649,ciprofloxacin,sufentanil
C0020649,hydroxyurea,risedronate
C0020649,omeprazole,zolpidem
C0020649,erythromycin,olopatadine
C0002871,enalapril,rifampicin
C0013404,erythromycin,telithromycin
C0002871,lisinopril,lorazepam
C0002871,lisinopril,loratadine
C0020649,lisinopril,loperamide
C0020649,amiodarone,duloxetine
C0020649,sulfate,risedronate
C0032285,nifedipine,sevoflurane
C0020649,leflunomide,pregabalin
C0020649,GGG,hydrochlorothiazide
C0020649,nifedipine,sertraline
C0020649,prednisolone,posaconazole
C0020649,budesonide,ofloxacin
C0020649,budesonide,olanzapine
C0002871,baclofen,memantine
C0020649,ceftazidime,hydromorphone
C0020649,latanoprost,pravastatin
C0030193,naratriptan,frovatriptan
C0020517,naratriptan,eletriptan
C0020649,beclomethasone,lisinopril
C0020649,ceftazidime,cortisol
C0015967,paclitaxel,trimethoprim
C0020649,sulfate,cefepime
C0002871,hydrochlorothiazide,leuprolide acetate
C0020649,quinidine,isosorbide-5-mononitrate
C0013404,thyroxine,glimepiride
C0020649,famotidine,perphenazine
C0020649,lansoprazole,orlistat
C0002871,didanosine,megestrol
C0002871,mitoxantrone,warfarin
C0015672,bicalutamide,megestrol
C0020649,famotidine,pentoxifylline
C0020649,morphine,remifentanil
C0032285,famotidine,pergolide
C0020649,finasteride,glibenclamide
C0020649,cyclophosphamide,valacyclovir
C0020649,cyclophosphamide,ursodeoxycholic acid
C0013404,tizanidine,pregabalin
C0020649,acetaminophen,letrozole
C0013404,theophylline,metformin
C0027497,oxaprozin,sulfasalazine
C0020649,captopril,voriconazole
C0020649,nitroglycerin,tadalafil
C0015672,nitroglycerin,vardenafil
C0030193,irbesartan,prochlorperazine
C0013404,repaglinide,fluticasone
C0002871,gabapentin,fondaparinux sodium
C0027497,hydroxyurea,ondansetron
C0020649,hydroxyurea,omeprazole
C0595939,2-chlorodeoxyadenosine,bleomycin
C0013404,leucovorin,cimetidine
C0002871,pentoxifylline,pioglitazone
C0020649,amiodarone,fluoxetine
C0030193,buspirone,haloperidol
C0002871,hydroxyzine,oxazepam
C0002871,ketoconazole,metoclopramide
C0020649,diazepam,monamine
C0020649,vitamin D,triamcinolone
C0011991,loratadine,warfarin
C0020649,olanzapine,pramipexole
C0020649,quetiapine,quinapril
C0020649,didanosine,prednisolone
C0027497,abacavir,NaCl
C0398353,primidone,entacapone
C0002871,isoniazid,allopurinol
C0002871,amlodipine,tacrolimus
C0020649,amlodipine,tamoxifen
C0020649,flunisolide,prednisone
C0002871,sodium bicarbonate,lactulose
C0027497,phenytoin,sodium bicarbonate
C0015672,oxaliplatin,ezetimibe
C0030193,captopril,warfarin
C0020649,meloxicam,pioglitazone
C0027497,calcitriol,valproic acid
C0020649,estradiol,ciclopirox
C0020649,cefazolin,ibuprofen
C0020649,diclofenac,ezetimibe
C0020649,celecoxib,telmisartan
C0011991,N-acetylcysteine,montelukast
C0002871,loperamide,spironolactone
C0020649,chlorhexidine,tadalafil
C0015967,streptomycin,vancomycin
C0015672,oxycodone,bimatoprost
C0020649,quetiapine,clarithromycin
C0020649,finasteride,primidone
C0020649,cefepime,folate
C0013404,omeprazole,trospium chloride
C0032285,moxifloxacin,posaconazole
C0020649,finasteride,prednisone
C0002871,amiodarone,5-fluorouracil
C0030193,meprobamate,medroxyprogesterone
C0002871,cyclosporine,indomethacin
C0020649,imipramine,trazodone
C0032285,nizatidine,oxybutynin
C0004093,vitamin B12,rosiglitazone
C0013404,cyclosporine,atovaquone
C0020649,dexamethasone,valsartan
C0020649,dexamethasone,vancomycin
C0020649,dexamethasone,venlafaxine
C0002871,famotidine,sucralfate
C0013404,anastrozole,digoxin
C0027497,buprenorphine,hydroxyzine
C0027497,thyroxine,venlafaxine
C0027497,ioversol,loratadine
C0020649,thyroxine,valsartan
C0020649,thyroxine,vancomycin
C0013404,vardenafil,pregabalin
C0008033,busulfan,ifosfamide
C0020649,citalopram,simvastatin
C0020649,ioversol,lorazepam
C0002871,doxepin,glibenclamide
C0085649,aspirin,fluphenazine
C0020649,atropine,isoflurane
C0002871,5-fluorouracil,temazepam
C0002871,propranolol,nateglinide
C0020649,hydroxyzine,trihexyphenidyl
C0027497,nabumetone,pregabalin
C0020649,candesartan,risperidone
C0027497,doxorubicin,aprepitant
C0027497,nystatin,iloprost
C0020649,carbamazepine,doxycycline
C0020649,acetaminophen,methylprednisolone
C0020649,acetaminophen,methylphenidate
C0020649,glimepiride,isosorbide-5-mononitrate
C0002871,leucovorin,fluvastatin
C0020649,amantadine,montelukast
C0020649,voriconazole,allopurinol
C0020649,rabeprazole,allopurinol
C0002871,ritonavir,triazolam
C0020649,risperidone,sevelamer
C0020649,celecoxib,etoposide
C0020649,buspirone,prochlorperazine
C0020649,GGG,fluticasone
C0020649,loratadine,apolar
C0002871,fluvastatin,meloxicam
C0020649,cefuroxime,furosemide
C0020649,promethazine,olmesartan medoxomil
C0013404,cefuroxime,gabapentin
C0020649,indomethacin,leflunomide
C0020649,sulfadiazine,simvastatin
C0398353,famciclovir,fosinopril
C0030193,indomethacin,latanoprost
C0013404,doxepin,methocarbamol
C0020649,lorazepam,naloxone
C0002871,amifostine,fentanyl
C0020649,nicotinic acid,imipramine
C0020649,buspirone,ribavirin
C0002871,acyclovir,indinavir
C0027497,doxazosin,indomethacin
C0020649,acyclovir,indapamide
C0020649,carbamazepine,ethosuximide
C0013404,estradiol,sibutramine
C0013404,ibuprofen,tadalafil
C0002871,estradiol,sildenafil
C0032285,azithromycin,candesartan
C0013404,fenofibrate,leflunomide
C0002871,diltiazem,oxaprozin
C0020649,chlorhexidine,tacrolimus
C0020649,cefazolin,trazodone
C0020649,ceftriaxone,tetracycline
C0013404,doxazosin,quinapril
C0000737,butorphanol,ranitidine
C0020649,ranitidine,stavudine
C0020649,atropine,ramipril
C0020649,atropine,ranitidine
C0020649,propofol,lithium
C0027497,doxazosin,quetiapine
C0013404,fentanyl,oxycodone
C0002871,monamine,spironolactone
C0020649,citalopram,ciclesonide
C0013404,amikacin,azithromycin
C0020649,estradiol,letrozole
C0030193,brimonidine,tegaserod
C0020649,loratadine,prednisone
C0015672,gemfibrozil,isosorbide dinitrate
C0020649,carvedilol,moxifloxacin
C0002871,itraconazole,retinoic acid
C0020649,prednisone,levetiracetam
C0030193,nisoldipine,nateglinide
C0020649,loratadine,primidone
C0032285,clopidogrel,pimecrolimus
C0013404,furosemide,iloprost
C0002871,cefepime,tobramycin
C0020649,sulfate,progesterone
C0020649,sulfate,promethazine
C0002871,ramipril,sevelamer
C0013404,terbinafine,tramadol
C0002871,cyclophosphamide,lansoprazole
C0020649,nitroglycerin,duloxetine
C0030193,docetaxel,sorafenib
C0020649,carnitine,spironolactone
C0013404,nitroglycerin,tiotropium
C0013404,dexamethasone,perindopril
C0020649,fludarabine,vitamin K1
C0020649,orphenadrine,mometasone
C0020649,fenofibrate,mometasone
C0002871,gemcitabine,ramipril
C0020649,metoprolol,cisplatin
C0009676,alendronate,sulfasalazine
C0027497,loteprednol etabonate,pregabalin
C0020649,paroxetine,rosiglitazone
C0020649,vitamin D,tamsulosin
C0020649,citalopram,enalapril
C0020649,paroxetine,eletriptan
C0032285,fluoxetine,nitrofurantoin
C0027497,lidocaine,trimethoprim
C0020649,clonidine,sevelamer
C0013404,clotrimazole,prednisolone
C0032285,adenosine,ceftriaxone
C0002871,gemcitabine,ranitidine
C0020649,amikacin,piperacillin
C0002871,acenocoumarol,carboplatin
C0020649,cetirizine,sulindac
C0442874,cytosine arabinoside,actinomycin D
C0020649,ofloxacin,olanzapine
C0020649,diazepam,orlistat
C0020649,diazepam,omeprazole
C0020649,diazepam,ondansetron
C0020649,cetirizine,sumatriptan
C0002871,diltiazem,ezetimibe
C0002871,nalbuphine,ondansetron
C0020649,dexamethasone,flecainide
C0020649,donepezil,fondaparinux sodium
C0030193,lidocaine,varenicline
C0020649,metoprolol,prazosin
C0020649,salbutamol,erythromycin
C0002871,methylphenidate,nifedipine
C0020649,methotrexate,levetiracetam
C0020649,monamine,moexipril
C0011991,donepezil,ibuprofen
C0009676,zopiclone,lactulose
C0027497,pioglitazone,rosuvastatin
C0020649,telmisartan,vardenafil
C0020649,fluvastatin,rofecoxib
C0013404,octreotide,lactulose
C0011991,alosetron,clonazepam
C0020649,carisoprodol,sulindac
C0020649,prochlorperazine,timolol
C0032285,baclofen,levetiracetam
C0020649,meperidine,moxifloxacin
C0002871,metoprolol,prednisolone
C0013404,acyclovir,dasatinib
C0015672,meperidine,morphine
C0020649,lidocaine,mometasone
C0018681,imipramine,prednisolone
C0013404,losartan,erlotinib
C0032285,hydrochlorothiazide,acarbose
C0020649,ofloxacin,scopolamine
C0002871,busulfan,ranitidine
C0020649,enalapril,sertraline
C0000737,dexamethasone,fluocinolone acetonide
C0020649,dexamethasone,fluoxetine
C0020649,dexamethasone,5-fluorouracil
C0020649,cephalexin,erythromycin
C0020649,methotrexate,acarbose
C0002871,ipratropium bromide,cinacalcet
C0020649,nefazodone,KCl
C0002871,hydrochlorothiazide,mitoxantrone
C0020649,piperacillin,zolpidem
C0002871,furosemide,goserelin
C0015967,calcipotriol,diclofenac
C0002871,fludarabine,rabeprazole
C0032285,lidocaine,lactulose
C0020649,zolpidem,oxcarbazepine
C0027497,baclofen,sulindac
C0020649,baclofen,sumatriptan
C0020649,hydromorphone,prochlorperazine
C0020649,naproxen,vancomycin
C0002871,finasteride,allopurinol
C0020649,cephalexin,methylphenidate
C0020649,calcitriol,loratadine
C0030193,calcitriol,loperamide
C0020649,aprepitant,nystatin
C0020649,famciclovir,lenalidomide
C0020649,carbamazepine,pamidronate
C0020649,calcitriol,lorazepam
C0020649,vitamin B12,paricalcitol
C0013404,dexamethasone,dacarbazine
C0002871,felodipine,hydroxyurea
C0015672,pantoprazole,almotriptan
C0020649,azelastine,pantoprazole
C0020649,diazepam,carboplatin
C0032285,delta 9-tetrahydrocannabinol,ritonavir
C0013404,cephalexin,lamotrigine
C0002871,delta 9-tetrahydrocannabinol,risperidone
C0020649,ondansetron,SU11248
C0020649,nitroglycerin,perindopril
C0002871,cephalexin,lamivudine
C0027497,chlorthalidone,warfarin
C0020649,irinotecan,metoprolol
C0002871,clonidine,sucralfate
C0020649,irinotecan,metronidazole
C0020649,furosemide,warfarin
C0020649,moxifloxacin,paclitaxel
C0032285,testosterone,lithium
C0020649,lidocaine,methotrexate
C0020649,ceftriaxone,lithium
C0002871,tamsulosin,caspofungin
C0020649,valsartan,olmesartan medoxomil
C0002871,leucovorin,simvastatin
C0011991,carvedilol,irbesartan
C0020649,carvedilol,ipratropium bromide
C0002871,enalapril,leuprolide acetate
C0020649,carvedilol,O-desmethylvenlafaxine
C0020649,epinephrine,raloxifene
C0020649,carvedilol,ioversol
C0027497,methylphenidate,ritonavir
C0027497,loratadine,tetracycline
C0013404,lamotrigine,omeprazole
C0032285,cephalexin,levetiracetam
C0002871,methylphenidate,risperidone
C0020649,calcium,diltiazem
C0151904,leflunomide,bimatoprost
C0020649,alendronate,bicalutamide
C0013404,methylphenidate,rizatriptan
C0020649,lovastatin,raloxifene
C0002871,tacrolimus,alfentanil
C0032285,felodipine,nystatin
C0020649,prochlorperazine,imatinib
C0020649,ipratropium bromide,oxaprozin
C0042963,lamivudine,oxybutynin
C0020649,lamivudine,oxycodone
C0020649,iopromide,pantoprazole
C0020649,EHDP,temazepam
C0002871,carvedilol,mitoxantrone
C0013404,ketotifen,lactulose
C0020649,naproxen,bisoprolol
C0020538,oxycodone,fosamprenavir
C0002871,folate,minoxidil
C0020649,calcitriol,cefaclor
C0020649,furosemide,progesterone
C0020649,carnitine,ramipril
C0917801,ciprofloxacin,ETV
C0020649,metformin,propranolol
C0002871,cyclophosphamide,lithium
C0020649,tamsulosin,sucralfate
C0020649,acetaminophen,chloroquine
C0020649,nitroglycerin,verteporfin
C0013404,olmesartan medoxomil,ezetimibe
C0020649,amphetamine,fentanyl
C0020649,acetaminophen,chlorhexidine
C0020649,acetaminophen,chlordiazepoxide
C0043096,amphetamine,fexofenadine
C0020649,epsilon-aminocaproic acid,cefazolin
C0020649,itraconazole,rofecoxib
C0002871,methocarbamol,nortriptyline
C0020649,salbutamol,carboplatin
C0019080,diflunisal,levetiracetam
C0013404,tacrolimus,dasatinib
C0020649,amphotericin B,tolterodine
C0002871,amphotericin B,topiramate
C0015672,ifosfamide,allopurinol
C0020649,cefaclor,dicyclomine
C0020649,famotidine,duloxetine
C0002871,naproxen,scopolamine
C0013404,famotidine,tiotropium
C0015672,oxybutynin,dutasteride
C0027497,irbesartan,aripiprazole
C0027497,ketoprofen,piroxicam
C0002871,ciclopirox,dexamethasone
C0002871,rabeprazole,gatifloxacin
C0013404,clarithromycin,mycophenolic acid
C0002871,fexofenadine,ketotifen
C0020649,fexofenadine,ketorolac
C0020649,fexofenadine,ketoprofen
C0002871,rabeprazole,tacrolimus
C0020649,gemfibrozil,latanoprost
C0020649,rabeprazole,tamoxifen
C0020649,amphotericin B,mercaptopurine
C0020649,verapamil,eletriptan
C0002871,spironolactone,gefitinib
C0013404,cefaclor,prednisolone
C0002871,chlorzoxazone,rofecoxib
C0013404,verapamil,rosiglitazone
C0020649,clonazepam,valsartan
C0020649,naproxen,ofloxacin
C0020649,naproxen,olanzapine
C0013404,sulindac,pregabalin
C0020649,ganciclovir,allopurinol
C0002871,benazepril,doxazosin
C0020649,efavirenz,tramadol
C0027497,quinidine,temozolomide
C0020649,quinidine,temazepam
C0020649,digoxin,calcium chloride
C0020649,losartan,paricalcitol
C0020649,quinidine,paclitaxel
C0020649,pamidronate,carboplatin
C0020649,cortisol,montelukast
C0030193,oxybutynin,valdecoxib
C0020649,moxifloxacin,sertraline
C0027497,busulfan,dapsone
C0020649,cefaclor,dexamethasone
C0020649,phenytoin,clindamycin
C0020649,bumetanide,ibandronate
C0013404,amphetamine,paroxetine
C0020649,risedronate,sucralfate
C0030193,tacrolimus,tegaserod
C0015967,acetaminophen,zanamivir
C0020649,imipramine,medroxyprogesterone
C0020649,lansoprazole,tetracycline
C0002871,acetaminophen,zidovudine
C0013404,pergolide,simvastatin
C0020649,mannitol,epinephrine
C0020649,clozapine,venlafaxine
C0020649,lansoprazole,lorazepam
C0002871,famotidine,aminophylline
C0032285,clozapine,vancomycin
C0030193,clozapine,valsartan
C0020649,aspirin,pancuronium
C0020649,lansoprazole,loratadine
C0020649,lansoprazole,loperamide
C0020649,apomorphine,ropinirole
C0027497,bupropion,atomoxetine
C0013404,fluoxetine,misoprostol
C0020649,quetiapine,temazepam
C0020649,dexamethasone,vecuronium
C0020649,minoxidil,sevelamer
C0002871,acebutolol,fluvastatin
C0013404,acebutolol,folate
C0020649,lansoprazole,oxycodone
C0027497,acetaminophen,nelfinavir
C0020649,methotrexate,hydroxocobalamin
C0020649,efavirenz,levetiracetam
C0002871,hydromorphone,ezetimibe
C0027497,digoxin,cromolyn
C0002871,azelastine,nitroglycerin
C0002871,saquinavir,caspofungin
C0002871,oxazepam,piperacillin
C0020649,fluvoxamine,montelukast
C0002871,cyclosporine,tramadol
C0013404,triazolam,zaleplon
C0442874,prazosin,propranolol
C0020649,azithromycin,cortisol
C0004093,phenytoin,isosorbide dinitrate
C0002871,dasatinib,dacarbazine
C0002871,lamivudine,dacarbazine
C0020649,metoprolol,allopurinol
C0030193,tiagabine,rosuvastatin
C0002871,theophylline,gemcitabine
C0015672,aripiprazole,duloxetine
C0027497,nitroglycerin,solifenacin succinate
C0020649,naproxen,acetaminophen
C0002871,leuprolide acetate,lisinopril
C0027497,fludarabine,vincristine
C0015672,azathioprine,etodolac
C0020649,cefaclor,risperidone
C0030193,captopril,valproic acid
C0013404,cyclobenzaprine,mitoxantrone
C0020649,quetiapine,valacyclovir
C0013404,bisoprolol,methylprednisolone
C0020649,atenolol,clarithromycin
C0013404,clonazepam,labetalol
C0020649,fexofenadine,pravastatin
C0013404,brimonidine,ofloxacin
C0020649,brimonidine,olanzapine
C0013404,prostacyclin,nifedipine
C0015672,efavirenz,ezetimibe
C0020649,fexofenadine,pramipexole
C0002871,cefazolin,spironolactone
C0013404,doxycycline,pamidronate
C0020649,raloxifene,gatifloxacin
C0013404,doxorubicin,timolol
C0020649,calcipotriol,ofloxacin
C0015672,citalopram,mitoxantrone
C0002871,isoniazid,rabeprazole
C0020649,theophylline,oxybutynin
C0020649,paclitaxel,octreotide
C0002871,zopiclone,bortezomib
C0020649,theophylline,oxycodone
C0015672,alendronate,vitamin D
C0027497,N-0437,entacapone
C0013404,delta 9-tetrahydrocannabinol,didanosine
C0020649,aspirin,eptifibatide
C0002871,ibuprofen,capecitabine
C0002871,leflunomide,warfarin
C0398353,propranolol,clobetasol
C0020649,pilocarpine,duloxetine
C0002871,atenolol,oxaprozin
C0020649,acetazolamide,ceftazidime
C0020649,cortisol,ziprasidone
C0020649,cimetidine,famotidine
C0020649,carvedilol,venlafaxine
C0020649,quinidine,sodium bicarbonate
C0020649,carvedilol,valsartan
C0020649,carvedilol,vancomycin
C0002871,aprepitant,erlotinib
C0002871,estradiol,moxifloxacin
C0020649,imipramine,lisinopril
C0020649,lidocaine,propofol
C0020649,estradiol,morphine
C0020649,amiodarone,thalidomide
C0002871,naproxen,anastrozole
C0020649,lidocaine,propranolol
C0002871,delta 9-tetrahydrocannabinol,rabeprazole
C0013404,loperamide,nateglinide
C0019080,efavirenz,Implanon
C0020649,carboplatin,simvastatin
C0032285,indomethacin,piperacillin
C0020649,lisinopril,oxcarbazepine
C0002871,amphotericin B,perindopril
C0002871,tobramycin,lactulose
C0020649,glipizide,salmeterol
C0020649,acebutolol,budesonide
C0002871,linezolid,tramadol
C0020649,quetiapine,sumatriptan
C0020649,cephalexin,darifenacin
C0020649,aspirin,trimethoprim
C0020649,isosorbide-5-mononitrate,sulfasalazine
C0002871,bumetanide,mirtazapine
C0011991,cephradine,gentamicin
C0020649,bumetanide,minoxidil
C0020649,diflunisal,ribavirin
C0002871,vitamin B12,ribavirin
C0042963,topotecan,allopurinol
C0020649,efavirenz,prochlorperazine
C0002871,zidovudine,warfarin
C0002871,spironolactone,sumatriptan
C0085649,folate,lithium
C0002871,fluvoxamine,triazolam
C0020649,doxycycline,ambrisentan
C0002871,prostaglandin E1,allopurinol
C0002871,carvedilol,lansoprazole
C0020649,fluconazole,hydrochlorothiazide
C0020649,aspirin,zoledronic acid
C0032285,chlordiazepoxide,lorazepam
C0018681,bumetanide,triazolam
C0002871,famotidine,olanzapine
C0030193,fluconazole,hydralazine
C0002871,famotidine,ofloxacin
C0020649,famotidine,scopolamine
C0002871,butorphanol,clopidogrel
C0020649,butorphanol,clonidine
C0030193,butorphanol,clonazepam
C0020649,meperidine,oxycodone
C0020649,haloperidol,nifedipine
C0020649,mesna,lansoprazole
C0020649,nicotine,NaCl
C0020649,lovastatin,methocarbamol
C0020649,mannitol,N-acetylcysteine
C0039231,disopyramide,glimepiride
C0020649,meloxicam,tamoxifen
C0085649,verapamil,tiagabine
C0011175,cyclosporine,oxaliplatin
C0020649,gentamicin,allopurinol
C0011991,cyclosporine,oseltamivir
C0020649,cerivastatin,furosemide
C0013404,cyclosporine,orphenadrine
C0002871,didanosine,ibuprofen
C0020649,warfarin,telithromycin
C0020649,5-aminosalicylic acid,olmesartan medoxomil
C0032285,morphine,cefpodoxime
C0042963,vardenafil,olmesartan medoxomil
C0020649,olanzapine,DDAVP
C0002871,mannitol,cefuroxime
C0002871,nortriptyline,paroxetine
C0020649,alprazolam,N-0437
C0002871,gemcitabine,NaCl
C0002871,risperidone,temozolomide
C0020649,Ets,losartan
C0002871,pamidronate,valsartan
C0027497,Ets,lovastatin
C0035078,enalapril,mupirocin
C0013404,amoxicillin,cefprozil
C0020649,sumatriptan,atomoxetine
C0015967,efavirenz,voriconazole
C0000737,oxybutynin,phentermine
C0020649,morphine,rosiglitazone
C0020649,amiodarone,azithromycin
C0027497,gemcitabine,propranolol
C0002871,budesonide,prochlorperazine
C0013404,risperidone,valacyclovir
C0020649,pantoprazole,bosentan
C0002871,zaleplon,zoledronic acid
C0020649,metoprolol,olanzapine
C0020649,fluconazole,tigecycline
C0020649,modafinil,tramadol
C0020649,clonidine,temazepam
C0004093,Ets,tramadol
C0013404,tramadol,treprostinil
C0020649,disopyramide,metoprolol
C0020649,carvedilol,enalapril
C0020649,disopyramide,isosorbide dinitrate
C0011991,gabapentin,vardenafil
C0032285,gabapentin,tadalafil
C0015672,nicotine,nortriptyline
C0020649,pravastatin,ranitidine
C0027497,ibuprofen,moexipril
C0002871,EHDP,clarithromycin
C0032285,sotalol,tamsulosin
C0020649,pravastatin,raloxifene
C0013404,metronidazole,quinapril
C0008033,valsartan,tadalafil
C0018681,valsartan,vardenafil
C0020649,clopidogrel,nimodipine
C0020649,midazolam,sufentanil
C0020649,clopidogrel,nisoldipine
C0002871,indapamide,aliskiren
C0020649,folate,valganciclovir
C0002871,ethambutol,clarithromycin
C0013404,promethazine,clarithromycin
C0027497,atazanavir,rosuvastatin
C0013404,nitrofurantoin,nystatin
C0002871,sulfate,nystatin
C0020649,naloxone,clofarabine
C0020649,haloperidol,propranolol
C0002871,bicalutamide,dexamethasone
C0020649,doxazosin,nitroglycerin
C0020649,doxazosin,nizatidine
C0020649,propofol,rabeprazole
C0027497,methocarbamol,pimecrolimus
C0002871,dicloxacillin,oxycodone
C0020649,enalapril,lenalidomide
C0020649,orphenadrine,fluticasone
C0013404,cefaclor,allopurinol
C0020649,valproic acid,ipratropium bromide
C0020649,valproic acid,irbesartan
C0013404,iohexol,warfarin
C0013404,lincomycin,nadolol
C0013404,perindopril,bortezomib
C0020649,hydrochlorothiazide,pantoprazole
C0002871,ketoconazole,ezetimibe
C0020649,ranitidine,cisatracurium
C0027497,vitamin D,glatiramer acetate
C0020649,famotidine,leuprolide acetate
C0020649,hydroxyzine,oxycodone
C0013404,dicyclomine,mitoxantrone
C0020649,dapsone,famotidine
C0013404,mirtazapine,stavudine
C0020649,salbutamol,goserelin
C0002871,budesonide,ambrisentan
C0020649,valproic acid,gefitinib
C0020649,amlodipine,misoprostol
C0020649,fentanyl,perphenazine
C0020649,venlafaxine,vincristine
C0027497,valacyclovir,misoprostol
C0032285,etodolac,hydroxychloroquine
C0002871,etodolac,hydroxyzine
C0002871,azathioprine,pantoprazole
C0002871,fentanyl,zoledronic acid
C0020649,amoxicillin,diclofenac
C0002871,estazolam,linezolid
C0032285,glibenclamide,lithium
C0020649,quazepam,medroxyprogesterone
C0020649,beclomethasone,valproic acid
C0002871,clopidogrel,zidovudine
C0020649,ceftriaxone,ketorolac
C0020649,clonidine,ursodeoxycholic acid
C0020649,clonidine,valacyclovir
C0002871,etoposide,ifosfamide
C0027497,terazosin,desloratadine
C0398353,clomiphene citrate,aripiprazole
C0020649,adenosine,methylprednisolone
C0011991,ibuprofen,perindopril
C0002871,fludarabine,irbesartan
C0020649,atenolol,promethazine
C0020649,folate,hydromorphone
C0020649,ifosfamide,vancomycin
C0032285,doxazosin,valacyclovir
C0027497,nitrazepam,telmisartan
C0020649,doxazosin,ursodeoxycholic acid
C0027497,dexamethasone,spironolactone
C0020649,tolterodine,olopatadine
C0027497,metoprolol,sumatriptan
C0020649,mesna,etoposide
C0020649,candesartan,clobetasol
C0030193,tetracycline,ezetimibe
C0013404,metoprolol,sulindac
C0020649,ezetimibe,bimatoprost
C0020649,irinotecan,oxycodone
C0027497,enalapril,desloratadine
